STATE,2024 HOTEL,2024 ROOM,2023 HOTEL,2023 ROOM
JOHOR,552,36043,548,35208
KEDAH & LANGKAWI,328,18600,330,19029
KELANTAN,170,6362,169,6269
KUALA LUMPUR,464,63973,448,60872
LABUAN,50,2296,49,2272
MELAKA,354,20159,355,19961
NEGERI SEMBILAN,166,10856,161,10643
PAHANG,501,34323,503,33387
PERAK,481,19299,487,19763
PERLIS,44,1489,44,1444
PULAU PINANG,376,26692,364,25543
PUTRAJAYA,13,2580,12,2508
SABAH,540,27208,532,26706
SARAWAK,522,27913,503,26592
SELANGOR,460,34883,444,32656
TERENGGANU,256,11190,255,10927
GRAND TOTAL,5277,343866,5204,333780
