MONTH,Year,Arrivals
JANUARY,2023,2084411.0
JANUARY,2024,2431941.0
FEBRUARY,2023,1904725.0
FEBRUARY,2024,2697941.0
MARCH,2023,2230860.0
MARCH,2024,3136479.0
APRIL,2023,2169139.0
APRIL,2024,2799026.0
MAY,2023,2255314.0
MAY,2024,3004321.0
JUNE,2023,2285786.0
JUNE,2024,3409290.0
JULY,2023,2670970.0
JULY,2024,3524200.0
AUGUST,2023,2578031.0
AUGUST,2024,3662108.0
SEPTEMBER,2023,2611063.0
SEPTEMBER,2024,3112151.0
OCTOBER,2023,2575393.0
OCTOBER,2024,3371216.0
NOVEMBER,2023,2540035.0
NOVEMBER,2024,3007506.0
DECEMBER,2023,3058581.0
DECEMBER,2024,3805306.0
